          ntotiter
              1000
             Niter        Best_route     Elite_average
                 0           34.8373           49.8115
                 1           33.5008           46.9038
                 2           32.4013           44.7045
                 3            33.282           42.5593
                 4           30.6152           40.2831
                 5           28.0048           38.4085
                 6           28.0868           37.3072
                 7           26.4354            36.335
                 8           19.1592           35.4361
                 9           19.1592           34.5387
                10            18.098           33.4881
                11            18.098           31.9197
                12           20.5226           30.8793
                13           21.1784           29.6827
                14           21.2211           28.6332
                15           22.0374           28.2065
                16           21.1615           27.1728
                17           19.4965           26.2476
                18           18.4153           25.4123
                19           18.7486           24.7207
                20           18.8009           24.4775
                21           16.3991            24.078
                22           16.7414           23.8114
                23           15.7175            23.426
                24           15.5224            22.728
                25           15.3352           22.0878
                26           15.9948           21.9978
                27           15.8001           21.5369
                28           15.7831            20.974
                29           15.7831           20.7358
                30           15.8964           20.5409
                31           14.9747           20.0624
                32           14.1484           19.5163
                33           14.3862           19.1487
                34           13.5191           18.4135
                35           12.0739           17.7503
                36           12.2056           17.2452
                37           12.4313           16.4636
                38           12.2257            16.151
                39           12.2257           15.5551
                40            11.843           14.8995
                41           11.2962           14.5626
                42           10.4595           14.1823
                43           9.34746           13.8002
                44           9.92536           13.4507
                45           9.34746           13.1202
                46           9.34746           12.6395
                47           9.53894           12.2494
                48           9.24838           11.9283
                49           9.24838           11.8119
                50           9.06388           11.3231
                51           7.62554           10.9307
                52           7.64835           10.6444
                53           7.64835           10.3946
                54           7.64835           10.2086
                55           7.67702           10.0863
                56           7.63628           9.90609
                57           7.65437           9.71836
                58           7.61567           9.36231
                59           7.42332           8.71798
                60           7.12396           8.24285
                61           6.57471           7.81744
                62           6.57471           7.63927
                63           6.49624           7.46526
                64           6.49624            7.2894
                65           6.47379           7.09836
                66           6.36573           6.90927
                67           6.31344           6.74929
                68           6.39951           6.62963
                69           6.12143           6.53818
                70           6.09472           6.49412
                71           5.89503           6.43239
                72           5.89503           6.34681
                73           5.89503           6.26015
                74           5.89503             6.113
                75           5.89503           6.00332
                76           5.89503           5.96127
                77           5.89503           5.92777
                78           5.89503           5.89503
                79           5.89503           5.89503
                80           5.89503           5.89503
                81           5.89503           5.89503
                82           5.89503           5.89503
                83           5.89503           5.89503
                84           5.89503           5.89503
                85           5.89503           5.89503
                86           5.89503           5.89503
                87           5.89503           5.89503
                88           5.89503           5.89503
                89           5.89503           5.89503
                90           5.89503           5.89503
                91           5.89503           5.89503
                92           5.89503           5.89503
                93           5.89503           5.89503
                94           5.89503           5.89503
                95           5.89503           5.89503
                96           5.89503           5.89503
                97           5.89503           5.89503
                98           5.89503           5.89503
                99           5.89503           5.89503
               100           5.89503           5.89503
               101           5.82311           5.88927
               102           5.82311           5.88064
               103           5.82311           5.86482
               104           5.82311           5.84199
               105           5.82311           5.82476
               106           5.82311           5.82324
               107           5.82311           5.82311
               108           5.82311           5.82311
               109           5.82311           5.82311
               110           5.82311           5.82311
               111           5.80325           5.82215
               112           5.80325           5.82231
               113           5.80325           5.82207
               114           5.80325           5.82176
               115           5.80325            5.8212
               116           5.80325           5.82098
               117           5.80325           5.82039
               118           5.80325           5.82056
               119           5.80325           5.82084
               120           5.80325           5.81962
               121           5.77005           5.81655
               122           5.78444           5.81302
               123           5.78444           5.80861
               124           5.77005           5.80433
               125           5.77005           5.80057
               126           5.77005            5.7952
               127           5.77005           5.79106
               128           5.77005           5.78495
               129           5.77005           5.77918
               130           5.77005            5.7747
               131           5.41771           5.76729
               132           5.43652           5.76871
               133           5.41771            5.7658
               134           5.41771            5.7658
               135           5.41771           5.76157
               136           5.41771           5.75877
               137           5.41771           5.75032
               138           5.41771           5.73199
               139           5.41771           5.71125
               140           5.41771           5.64159
               141           5.20865           5.53062
               142           5.41771           5.41771
               143           5.41771           5.41771
               144           5.41771           5.41771
               145           5.41771           5.41771
               146           5.41771           5.41771
               147           5.41771           5.41771
               148           5.41771           5.41771
               149           5.41771           5.41771
               150           5.41771           5.41771
               151           4.82968           5.41429
               152           4.82968           5.41092
               153           4.82968           5.40882
               154           4.82968           5.40795
               155           4.82968           5.40195
               156           5.26776           5.40313
               157           5.40367           5.40367
               158           5.36746           5.40353
               159           5.36746           5.40353
               160           5.36746           5.40338
               161           4.82968           5.35853
               162           4.82968           5.34472
               163           4.82968            5.3303
               164           4.82968           5.30966
               165           4.82968           5.28003
               166           4.82968           5.26538
               167           4.82968           5.19691
               168           4.82968           5.09953
               169           4.82968           5.03539
               170           4.82968           4.97407
               171           4.82968           4.87016
               172           4.82968           4.85354
               173           4.82968           4.85344
               174           4.82968           4.85333
               175           4.82968           4.85258
               176           4.82968           4.85131
               177           4.82968           4.85056
               178           4.82968           4.84992
               179           4.82968           4.84694
               180           4.82968           4.84481
               181           4.82968           4.84182
               182           4.82968           4.83831
               183           4.82968           4.83523
               184           4.82968           4.83106
               185           4.82968           4.82968
               186           4.81563           4.82962
               187           4.82968           4.82968
               188           4.82968           4.82968
               189           4.82968           4.82968
               190           4.82968           4.82968
               191           4.82968           4.82968
               192           4.82968           4.82968
               193           4.82968           4.82968
               194           4.82968           4.82968
               195           4.82968           4.82968
               196           4.82968           4.82968
               197           4.82968           4.82968
               198           4.82968           4.82968
               199           4.82968           4.82968
               200           4.82968           4.82968
               201           4.82968           4.82968
               202           4.82968           4.82968
               203           4.82968           4.82968
               204           4.82968           4.82968
               205           4.82968           4.82968
               206           4.82968           4.82968
               207           4.82968           4.82968
               208           4.82968           4.82968
               209           4.82968           4.82968
               210           4.82968           4.82968
               211           4.82968           4.82968
               212           4.82968           4.82968
               213           4.82968           4.82968
               214           4.82968           4.82968
               215           4.82968           4.82968
               216           4.82968           4.82968
               217           4.82968           4.82968
               218           4.82968           4.82968
               219           4.82968           4.82968
               220           4.82968           4.82968
               221           4.76149           4.82913
               222           4.76149           4.82886
               223           4.76149           4.82831
               224           4.76149           4.82722
               225           4.76149            4.8234
               226           4.76149           4.81877
               227           4.76149           4.80786
               228           4.76149           4.78822
               229           4.76149           4.76449
               230           4.76149           4.76149
               231           4.44498           4.73617
               232           4.44498           4.71085
               233           4.44498           4.66742
               234           4.44498           4.56741
               235           4.44498           4.44498
               236           4.44498           4.44498
               237           4.44498           4.44498
               238           4.44498           4.44498
               239           4.44498           4.44498
               240           4.44498           4.44498
               241           4.29149           4.44437
               242           4.29149           4.44314
               243           4.29149           4.43946
               244           4.29149           4.43577
               245           4.29149           4.42411
               246           4.29149           4.39464
               247           4.29149           4.33693
               248           4.29149           4.29149
               249           4.29149           4.29149
               250           4.29149           4.29149
               251           4.29149           4.29149
               252           4.29149           4.29149
               253           4.29149           4.29149
               254           4.29149           4.29149
               255           4.29149           4.29149
               256           4.29149           4.29149
               257           4.29149           4.29149
               258           4.29149           4.29149
               259           4.29149           4.29149
               260           4.29149           4.29149
               261           4.29149           4.29149
               262           4.29149           4.29149
               263           4.29149           4.29149
               264           4.29149           4.29149
               265           4.29149           4.29149
               266           4.29149           4.29149
               267           4.29149           4.29149
               268           4.29149           4.29149
               269           4.29149           4.29149
               270           4.29149           4.29149
