          ntotiter
              1000
             Niter        Best_route     Elite_average
                 0            34.295           46.5341
                 1           33.5008           44.9466
                 2           32.8566           42.8996
                 3           31.7912           40.9467
                 4           30.7319           39.2705
                 5            26.349           37.9166
                 6            26.334           36.5798
                 7           20.2949           34.8832
                 8            22.407           33.5844
                 9           22.7192           31.6135
                10           21.2097           30.5123
                11            22.164            29.962
                12             18.17           29.1921
                13             18.17           28.2206
                14           18.5718           26.9002
                15           15.8941           26.2738
                16           15.8941           25.4718
                17           15.4336           24.7508
                18           15.8941           24.0027
                19           15.7208           23.2655
                20           15.2977           22.8575
                21           15.8941           22.5621
                22           14.1377           21.7542
                23           15.1504           20.8728
                24           15.8263           20.3845
                25            13.341           20.1491
                26           15.1633           19.4863
                27           14.3283           19.2968
                28           14.3283           19.0788
                29           14.3721           18.5522
                30           13.4742           18.0513
                31           10.9102           17.1058
                32           12.0614           16.5078
                33           10.7416           16.0715
                34           10.3042           15.4069
                35           10.3042           14.9158
                36           10.4075           14.3074
                37           9.03655           14.0883
                38           8.65963           13.8014
                39           8.65963            13.056
                40           9.54022           12.5195
                41           9.29352           12.0624
                42            9.3127            11.924
                43           9.29352           11.7613
                44           9.29352           11.2792
                45           9.29352           11.1148
                46           9.29352           10.7358
                47           9.29352           10.4085
                48           9.18505            10.076
                49           8.89066           9.77561
                50           8.89066           9.59241
                51           7.12854           9.29652
                52           7.57654            9.2407
                53            7.8124           9.18601
                54           7.56794           9.15039
                55           7.10223           9.16664
                56           6.93301           9.14934
                57           7.69277           9.12565
                58           7.33147           9.05075
                59           7.33147           9.02712
                60           6.75305           8.86018
                61           5.59526           8.62976
                62           5.59526           8.44259
                63           5.75131           8.23236
                64           5.75131           8.06251
                65           5.56843           7.81792
                66           5.59526           7.54554
                67           5.59526           7.18345
                68           5.59526           6.84035
                69            5.4669           6.50606
                70            5.4669           6.20414
                71            5.4669           6.03326
                72            5.4501           5.93497
                73           5.34769           5.80926
                74           5.31085           5.68905
                75           5.29538           5.59537
                76           5.29538           5.50287
                77           5.29538           5.42599
                78           5.29538           5.36598
                79           5.29538            5.3324
                80           5.29538           5.30869
                81           5.29538            5.2981
                82           5.29538           5.29538
                83           5.29538           5.29538
                84           5.11611           5.29466
                85           5.29538           5.29538
                86           5.29538           5.29538
                87           4.97209           5.29408
                88           4.97209            5.2915
                89           4.97209           5.28244
                90           4.97209           5.26434
                91           4.89789           5.24865
                92           4.89789           5.19923
                93           4.89789           5.15588
                94           4.67578           5.05932
                95           4.67578           4.96409
                96           4.67578           4.94875
                97           4.67578           4.93736
                98           4.67578           4.91114
                99           4.57461           4.87455
               100           4.54846           4.80357
               101           4.54846           4.70014
               102           4.54846           4.64628
               103           4.54846            4.6121
               104           4.54846           4.57147
               105           4.54846           4.54846
