Structure of the OUTPUT:
          Throws      Block_mean0       Prog_mean0        Prog_err0
           10000        -0.15363        -0.15363               0
           20000       -0.129025       -0.141327      0.00869905
           30000       -0.150559       -0.144404      0.00632027
           40000       -0.167512       -0.150181      0.00689194
           50000       -0.135338       -0.147213      0.00611965
           60000        -0.13163       -0.144616      0.00562385
           70000       -0.133951       -0.143092      0.00502257
           80000       -0.141782       -0.142928      0.00439742
           90000         -0.1473       -0.143414      0.00393555
          100000       -0.147542       -0.143827      0.00356357
          110000       -0.124101       -0.142034      0.00366313
          120000       -0.149263       -0.142636      0.00340704
          130000       -0.130427       -0.141697      0.00327183
          140000       -0.148844       -0.142207       0.0030777
          150000       -0.112583       -0.140232      0.00344843
          160000       -0.154497       -0.141124      0.00334616
          170000       -0.120537       -0.139913      0.00336132
          180000       -0.145998       -0.140251      0.00319154
          190000       -0.141237       -0.140303      0.00302398
          200000       -0.140727       -0.140324      0.00287286
          210000       -0.124205       -0.139556      0.00283675
          220000       -0.151706       -0.140109      0.00276104
          230000       -0.157341       -0.140858      0.00274076
          240000       -0.148911       -0.141194      0.00264703
          250000       -0.144217       -0.141314      0.00254391
          260000       -0.177315       -0.142699      0.00279763
          270000       -0.141062       -0.142639      0.00269467
          280000       -0.157024       -0.143152      0.00264696
          290000       -0.128743       -0.142655      0.00260191
          300000       -0.139354       -0.142545       0.0025175
          310000        -0.14498       -0.142624      0.00243752
          320000       -0.165321       -0.143333      0.00246238
          330000       -0.159225       -0.143815       0.0024344
          340000       -0.137515       -0.143629      0.00236984
          350000       -0.146608       -0.143715      0.00230365
          360000        -0.11941       -0.143039       0.0023365
          370000       -0.140377       -0.142967      0.00227446
          380000       -0.147945       -0.143098      0.00221837
          390000       -0.145435       -0.143158       0.0021623
          400000       -0.136819          -0.143      0.00211405
          410000       -0.132368       -0.142741      0.00207833
          420000       -0.138466       -0.142639      0.00203133
          430000       -0.160142       -0.143046      0.00202447
          440000       -0.138732       -0.142948      0.00198083
          450000       -0.150136       -0.143108      0.00194324
          460000       -0.175993       -0.143822      0.00202824
          470000       -0.137346       -0.143685      0.00198976
          480000       -0.161812       -0.144062      0.00198382
          490000       -0.128384       -0.143742      0.00196897
          500000       -0.128483       -0.143437       0.0019531
          510000       -0.111333       -0.142808      0.00201369
          520000       -0.160115        -0.14314      0.00200228
          530000       -0.155898       -0.143381      0.00197892
          540000        -0.14476       -0.143407      0.00194244
          550000        -0.14091       -0.143361      0.00190765
          560000       -0.138161       -0.143268      0.00187584
          570000        -0.16055       -0.143572      0.00186727
          580000       -0.132568       -0.143382      0.00184469
          590000       -0.141881       -0.143356       0.0018136
          600000       -0.145519       -0.143393      0.00178373
          610000       -0.137172       -0.143291       0.0017574
          620000       -0.148256       -0.143371      0.00173088
          630000        -0.15825       -0.143607      0.00171945
          640000       -0.150848        -0.14372       0.0016963
          650000       -0.143529       -0.143717       0.0016702
          660000       -0.145601       -0.143746      0.00164514
          670000       -0.132372       -0.143576      0.00162932
          680000       -0.140537       -0.143531      0.00160597
          690000       -0.175595       -0.143996      0.00164856
          700000       -0.146924       -0.144038      0.00162554
          710000       -0.139979        -0.14398      0.00160365
          720000       -0.203116       -0.144802      0.00177932
          730000       -0.170318       -0.145151      0.00178894
          740000       -0.143285       -0.145126      0.00176495
          750000        -0.14364       -0.145106      0.00174153
          760000        -0.15294       -0.145209      0.00172166
          770000       -0.168297       -0.145509      0.00172521
          780000       -0.139971       -0.145438      0.00170455
          790000       -0.124795       -0.145177      0.00170289
          800000       -0.146076       -0.145188      0.00168164
          810000       -0.165802       -0.145443      0.00168002
          820000       -0.165652       -0.145689      0.00167752
          830000       -0.136583       -0.145579      0.00166089
          840000       -0.145076       -0.145573      0.00164113
          850000       -0.128319        -0.14537      0.00163433
          860000       -0.153814       -0.145469      0.00161827
          870000       -0.161321       -0.145651      0.00160989
          880000       -0.144103       -0.145633       0.0015917
          890000       -0.147283       -0.145652      0.00157392
          900000       -0.164184       -0.145858      0.00156984
          910000       -0.148951       -0.145892      0.00155296
          920000       -0.128596       -0.145704      0.00154742
          930000       -0.142151       -0.145665      0.00153125
          940000       -0.142975       -0.145637      0.00151523
          950000       -0.142772       -0.145607      0.00149958
          960000       -0.131083       -0.145455      0.00149157
          970000       -0.141372       -0.145413      0.00147679
          980000       -0.145396       -0.145413      0.00146172
          990000       -0.142256       -0.145381       0.0014473
         1000000       -0.146769       -0.145395      0.00143289
