Structure of the OUTPUT:
          Throws      Block_mean       Prog_mean        Prog_err
           10000       -0.449667       -0.449667               0
           20000       -0.440029       -0.444848      0.00340761
           30000       -0.450391       -0.446696      0.00272701
           40000       -0.447284       -0.446843      0.00204922
           50000       -0.448746       -0.447224      0.00167437
           60000       -0.459161       -0.449213      0.00229032
           70000       -0.449092       -0.449196       0.0019632
           80000       -0.443694       -0.448508      0.00183429
           90000       -0.440948       -0.447668      0.00181265
          100000        -0.44787       -0.447688      0.00163149
          110000       -0.443738       -0.447329      0.00152219
          120000       -0.442703       -0.446944      0.00144334
          130000       -0.455101       -0.447571      0.00146236
          140000       -0.456592       -0.448216      0.00149312
          150000       -0.446048       -0.448071      0.00140055
          160000       -0.440587       -0.447603      0.00138893
          170000       -0.450635       -0.447782      0.00131863
          180000       -0.441698       -0.447444      0.00128796
          190000       -0.447102       -0.447426       0.0012203
          200000       -0.429516        -0.44653       0.0014511
          210000       -0.454185       -0.446895      0.00142705
          220000       -0.443288       -0.446731      0.00137156
          230000       -0.453985       -0.447046      0.00134771
          240000       -0.437252       -0.446638      0.00135192
          250000       -0.444055       -0.446535      0.00130179
          260000       -0.440624       -0.446307      0.00127141
          270000       -0.435137       -0.445894      0.00128988
          280000       -0.443595       -0.445812      0.00124643
          290000       -0.448408       -0.445901      0.00120666
          300000       -0.454059       -0.446173      0.00119668
          310000       -0.434785       -0.445806      0.00121316
          320000       -0.453475       -0.446045      0.00119868
          330000       -0.438621        -0.44582      0.00118328
          340000       -0.435699       -0.445523      0.00118534
          350000        -0.44956       -0.445638      0.00115707
          360000       -0.440725       -0.445502      0.00113295
          370000       -0.431916       -0.445134       0.0011603
          380000       -0.447363       -0.445193      0.00113125
          390000       -0.433077       -0.444882      0.00114411
          400000       -0.446654       -0.444927      0.00111636
          410000       -0.435296       -0.444692      0.00111357
          420000       -0.457668       -0.445001       0.0011291
          430000       -0.449158       -0.445097      0.00110698
          440000       -0.444459       -0.445083      0.00108191
          450000       -0.441953       -0.445013       0.0010601
          460000       -0.450579       -0.445134      0.00104394
          470000       -0.436423       -0.444949      0.00103805
          480000         -0.4519       -0.445094      0.00102648
          490000       -0.451938       -0.445233      0.00101499
          500000       -0.436679       -0.445062        0.001009
          510000       -0.438414       -0.444932     0.000997605
          520000        -0.45238       -0.445075     0.000988648
          530000       -0.448701       -0.445144     0.000972358
          540000       -0.435583       -0.444967     0.000970335
          550000       -0.431141       -0.444715     0.000984713
          560000       -0.450118       -0.444812     0.000971843
          570000        -0.42916       -0.444537     0.000992827
          580000        -0.45028       -0.444636     0.000980634
          590000       -0.446312       -0.444665     0.000964425
          600000       -0.458265       -0.444891     0.000974627
          610000       -0.435413       -0.444736     0.000970957
          620000       -0.433229        -0.44455     0.000972872
          630000       -0.455658       -0.444727     0.000973276
          640000       -0.433084       -0.444545      0.00097492
          650000       -0.445217       -0.444555     0.000959976
          660000       -0.450246       -0.444641     0.000949295
          670000       -0.446336       -0.444667     0.000935464
          680000       -0.439755       -0.444594     0.000924491
          690000       -0.456372       -0.444765     0.000926716
          700000       -0.453032       -0.444883     0.000920971
          710000       -0.439554       -0.444808     0.000911054
          720000       -0.442382       -0.444774     0.000899023
          730000       -0.442596       -0.444745     0.000887203
          740000       -0.444712       -0.444744     0.000875214
          750000       -0.448998       -0.444801      0.00086538
          760000       -0.434916       -0.444671     0.000863711
          770000       -0.456628       -0.444826     0.000866342
          780000       -0.447744       -0.444863     0.000856042
          790000       -0.451575       -0.444948     0.000849411
          800000       -0.435434       -0.444829     0.000847078
          810000       -0.437047       -0.444733     0.000842051
          820000       -0.443557       -0.444719     0.000831905
          830000        -0.44905       -0.444771     0.000823517
          840000       -0.457467       -0.444922     0.000827466
          850000       -0.444859       -0.444922     0.000817731
          860000       -0.454306       -0.445031     0.000815471
          870000       -0.442804       -0.445005     0.000806499
          880000       -0.448759       -0.445048     0.000798461
          890000       -0.437336       -0.444961     0.000794178
          900000       -0.429938       -0.444794     0.000802704
          910000       -0.445304         -0.4448     0.000793903
          920000       -0.453434       -0.444894     0.000790801
          930000       -0.446127       -0.444907     0.000782409
          940000       -0.451137       -0.444973     0.000776888
          950000       -0.440383       -0.444925     0.000770211
          960000       -0.444363       -0.444919      0.00076221
          970000       -0.447982       -0.444951     0.000755006
          980000       -0.448354       -0.444985       0.0007481
          990000       -0.444541       -0.444981     0.000740557
         1000000       -0.455518       -0.445086      0.00074061
