          ntotiter
              1000
             Niter        Best_route     Elite_average
                 0           42.7393            55.624
                 1           37.7592           42.7047
                 2           33.2889           37.7277
                 3           30.5765           33.2749
                 4           30.4409           30.5757
                 5           26.3058           30.4135
                 6           25.7062           26.3031
                 7           25.6811            25.706
                 8           25.6811           25.6811
                 9           25.6811           25.6811
                10           24.9051            25.678
                11           24.6177            24.904
                12           23.7193           24.6141
                13            23.173           23.7171
                14           22.4768           23.1673
                15           22.4768           22.4768
                16           21.3823           22.4725
                17           16.5793           21.3631
                18           16.5793           16.5793
                19           16.5793           16.5793
                20           15.8836           16.5738
                21           15.8836           15.8836
                22           14.1659            15.873
                23           14.1659           14.1659
                24           14.1659           14.1659
                25           14.1659           14.1659
                26           14.1659           14.1659
                27           13.3123           14.1607
                28           13.3123           13.3123
                29           13.0325            13.311
                30           13.0325           13.0325
                31           13.0325           13.0325
                32           13.0325           13.0325
                33           12.7644           13.0314
                34           12.7644           12.7644
                35           12.7644           12.7644
                36           12.7644           12.7644
                37           12.5404           12.7635
                38           12.2771           12.5394
                39           12.1005           12.2764
                40           11.9697              12.1
                41           11.9697           11.9697
                42           11.9697           11.9697
                43           11.9697           11.9697
                44           11.8402           11.9692
                45           11.8402           11.8402
                46           11.8112           11.8401
                47           11.8112           11.8112
                48           11.8112           11.8112
                49           11.2413           11.8089
                50           11.2413           11.2413
                51           11.2413           11.2413
                52           11.2413           11.2413
                53           11.2413           11.2413
                54           11.2413           11.2413
                55           7.21689           11.2252
                56           7.21689           7.21689
                57           7.10709           7.21645
                58           6.76174           7.10571
                59           6.76174           6.76174
                60           6.76174           6.76174
                61           6.76174           6.76174
                62           6.76174           6.76174
                63           6.76174           6.76174
                64           6.74616           6.76168
                65           6.74616           6.74616
                66           5.95705           6.74301
                67           5.95705           5.95705
                68            5.9453             5.957
                69           5.88825           5.94508
                70           5.88825           5.88825
                71           5.88825           5.88825
                72           5.88825           5.88825
                73           5.88825           5.88825
                74           5.88825           5.88825
                75           5.88825           5.88825
                76           5.88825           5.88825
                77           5.88825           5.88825
                78           5.88825           5.88825
                79           5.82902             5.888
                80           5.82902           5.82902
                81           5.24162           5.82668
                82           5.24162           5.24162
                83           5.24162           5.24162
                84           5.24162           5.24162
                85           5.24162           5.24162
                86           5.23601            5.2416
                87           5.23601           5.23601
                88           5.23601           5.23601
                89           5.00627           5.23509
                90           5.00627           5.00627
                91           5.00627           5.00627
                92           5.00627           5.00627
                93           5.00627           5.00627
                94           5.00627           5.00627
                95           5.00627           5.00627
                96           5.00627           5.00627
