          ntotiter
              1000
             Niter        Best_route     Elite_average
                 0           35.9757           50.3067
                 1           33.0358           35.9263
                 2           29.1288           32.9946
                 3           26.7412           29.1193
                 4            23.285           26.7174
                 5            23.152           23.2845
                 6           20.9832           23.1288
                 7           19.4239           20.9739
                 8           19.4239           19.4239
                 9           19.4239           19.4239
                10           16.2849           19.4113
                11           16.2849           16.2849
                12           16.2849           16.2849
                13           16.2849           16.2849
                14           16.2849           16.2849
                15           16.2849           16.2849
                16           16.2849           16.2849
                17           16.2849           16.2849
                18           16.2849           16.2849
                19           16.2849           16.2849
                20           16.2849           16.2849
                21           16.2849           16.2849
                22           16.2097           16.2846
                23           15.8418           16.2075
                24           15.8418           15.8418
                25           14.1221            15.834
                26           14.1083           14.1221
                27            14.103           14.1082
                28            14.103            14.103
                29            14.103            14.103
                30            14.103            14.103
                31            14.103            14.103
                32            14.103            14.103
                33            14.103            14.103
                34           13.6379           14.1012
                35           13.6379           13.6379
                36           13.4164            13.637
                37           13.3454           13.4161
                38            13.286           13.3452
                39            13.286            13.286
                40            13.286            13.286
                41            13.059           13.2851
                42            13.059            13.059
                43            13.059            13.059
                44           12.5992           13.0564
                45           12.3247           12.5981
                46           12.3247           12.3247
                47           12.3247           12.3247
                48           11.0661           12.3193
                49           11.0661           11.0661
                50           11.0661           11.0661
                51           11.0661           11.0661
                52           11.0661           11.0661
                53           11.0661           11.0661
                54           11.0661           11.0661
                55           10.8917           11.0654
                56           10.8917           10.8917
                57           10.6807           10.8908
                58           10.6807           10.6807
                59           10.6807           10.6807
                60           10.6807           10.6807
                61           10.2181           10.6788
                62           10.2181           10.2181
                63           10.2181           10.2181
                64           10.2181           10.2181
                65           10.2181           10.2181
                66           10.2181           10.2181
                67           10.2181           10.2181
                68           10.2181           10.2181
                69            10.046           10.2174
                70            10.046            10.046
                71            10.046            10.046
                72           10.0327           10.0459
                73           10.0327           10.0327
                74            9.8009           10.0318
                75            9.8009            9.8009
                76           9.34581           9.79908
                77           9.32836           9.34574
                78           9.32836           9.32836
                79           9.23802             9.328
                80           9.23802           9.23802
                81           8.75271           9.23607
                82           8.75271           8.75271
                83           8.75271           8.75271
                84           8.14222           8.75027
                85           8.14222           8.14222
                86           8.14222           8.14222
                87           8.09644           8.14204
                88           8.09644           8.09644
                89           8.09644           8.09644
                90           8.09644           8.09644
                91           8.09644           8.09644
                92           8.09644           8.09644
                93           8.09644           8.09644
                94           8.09644           8.09644
                95           8.09644           8.09644
                96           8.09644           8.09644
                97           8.09644           8.09644
                98           8.06238           8.09631
                99           8.06238           8.06238
               100           8.06238           8.06238
               101           7.97063           8.06201
               102           7.97063           7.97063
               103           7.97063           7.97063
               104           7.86062           7.97019
               105           7.86062           7.86062
               106           7.86062           7.86062
               107           7.86062           7.86062
               108           7.86062           7.86062
               109           7.86062           7.86062
               110           7.64739           7.85977
               111           7.54289           7.64697
               112           7.54289           7.54289
               113           7.54289           7.54289
               114           7.54289           7.54289
               115           7.54289           7.54289
               116           7.54289           7.54289
               117           7.54289           7.54289
               118           7.54289           7.54289
               119           7.54289           7.54289
               120           7.54289           7.54289
               121           7.54289           7.54289
               122           7.54289           7.54289
               123           7.54289           7.54289
               124           7.54289           7.54289
               125           7.54289           7.54289
               126           7.54289           7.54289
               127           7.54289           7.54289
               128           7.54289           7.54289
               129           7.54289           7.54289
               130           7.54289           7.54289
               131           7.54289           7.54289
               132           7.54289           7.54289
               133           7.54289           7.54289
               134           7.54289           7.54289
               135           7.54289           7.54289
               136           7.54289           7.54289
               137           7.54289           7.54289
               138           7.54289           7.54289
               139           7.54289           7.54289
               140           7.54289           7.54289
               141           7.54289           7.54289
               142           7.54289           7.54289
               143           7.54289           7.54289
               144           7.54289           7.54289
               145           7.54289           7.54289
               146           7.54289           7.54289
               147           7.54289           7.54289
               148           7.54289           7.54289
               149           7.54289           7.54289
               150           7.54289           7.54289
               151           7.33671           7.54207
               152           7.33671           7.33671
               153           7.33671           7.33671
               154           7.33671           7.33671
               155           7.33671           7.33671
               156           7.33671           7.33671
               157           7.26246           7.33641
               158           7.26246           7.26246
               159           7.04124           7.26158
               160           7.04124           7.04124
               161           7.04124           7.04124
               162           7.04124           7.04124
               163           7.04124           7.04124
               164           7.04124           7.04124
               165           7.03417           7.04121
               166           7.03417           7.03417
               167           7.01293           7.03408
               168           6.93396           7.01261
               169           6.93396           6.93396
               170           6.93396           6.93396
               171           6.93396           6.93396
               172           6.93396           6.93396
               173           6.93396           6.93396
               174           6.93396           6.93396
               175           6.93396           6.93396
               176           6.93396           6.93396
               177           6.89377            6.9338
               178           6.89377           6.89377
               179           6.89377           6.89377
               180           6.89377           6.89377
               181           6.89377           6.89377
               182           6.89377           6.89377
               183           6.89377           6.89377
               184           6.89377           6.89377
               185           6.89377           6.89377
               186           6.89377           6.89377
               187           6.89377           6.89377
               188           6.63908           6.89275
               189           6.42891           6.63797
               190           6.42891           6.42891
               191           6.42891           6.42891
               192           6.42891           6.42891
               193           6.42891           6.42891
               194           6.42891           6.42891
               195           6.31731            6.4281
               196           6.31731           6.31731
               197           6.31731           6.31731
               198           6.31731           6.31731
               199           6.31731           6.31731
               200           6.31291           6.31729
               201           6.22904           6.31257
               202           6.22904           6.22904
               203           6.22904           6.22904
               204           6.22904           6.22904
               205           6.22904           6.22904
               206           6.16072           6.22877
               207           5.86451           6.15954
               208           5.86451           5.86451
               209           5.86451           5.86451
               210           5.86451           5.86451
               211           5.86451           5.86451
               212           5.86451           5.86451
               213           5.86451           5.86451
               214           5.86451           5.86451
               215           5.86451           5.86451
               216           5.86451           5.86451
               217           5.86451           5.86451
               218           5.86451           5.86451
               219           5.86451           5.86451
               220           5.86451           5.86451
               221           5.86451           5.86451
               222           5.86451           5.86451
               223            5.5466           5.86323
               224            5.5466            5.5466
               225            5.5466            5.5466
               226            5.5466            5.5466
               227            5.5466            5.5466
               228            5.5466            5.5466
               229            5.5466            5.5466
               230            5.5466            5.5466
               231            5.5466            5.5466
               232            5.5466            5.5466
               233            5.5466            5.5466
               234            5.5466            5.5466
               235            5.5466            5.5466
               236            5.5466            5.5466
               237            5.5466            5.5466
               238            5.5466            5.5466
               239            5.5466            5.5466
               240            5.5466            5.5466
               241            5.5466            5.5466
               242            5.5466            5.5466
               243            5.5466            5.5466
               244            5.5466            5.5466
               245             5.481           5.54634
               246             5.481             5.481
               247             5.481             5.481
               248             5.481             5.481
               249             5.481             5.481
               250             5.481             5.481
               251             5.481             5.481
